Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,277198,562177,258865000,50668,213924000,17160
bretagne.mapgr,510476,222168,98708000,51359,57180000,26020
bretagne.mapgr,655131,605009,302009000,57149,52857000,21861
bretagne.mapgr,372706,515285,242635000,92073,25121000,17605
bretagne.mapgr,50072,56520,732249000,170717,78792000,81933
bretagne.mapgr,635732,429283,132370000,48077,20141000,11369
bretagne.mapgr,230946,477976,254859000,80809,117698000,34515
bretagne.mapgr,492432,438894,98648000,45655,26719000,15371
bretagne.mapgr,421624,429030,224373000,88849,100936000,43118
bretagne.mapgr,116524,420593,53947000,68672,50290000,24841
bretagne.mapgr,317495,483810,244822000,98773,66073000,32688
bretagne.mapgr,291673,196435,247279000,89898,46336000,25280
bretagne.mapgr,632753,431981,53544000,26686,24977000,11063
bretagne.mapgr,92937,549530,687449000,136109,162128000,62053
bretagne.mapgr,270123,341187,213922000,83506,39674000,23170
bretagne.mapgr,137747,3726,936420000,163458,701806000,81645
bretagne.mapgr,33914,622697,376643000,92070,170231000,52729
bretagne.mapgr,325299,204941,709346000,187593,111854000,27139
bretagne.mapgr,162062,401071,56981000,265329,839654000,117724
bretagne.mapgr,153207,402894,782796000,113283,88345000,29454
bretagne.mapgr,634326,514153,125492000,64468,43468000,16784
bretagne.mapgr,521990,457941,132172000,47370,47092000,21085
bretagne.mapgr,439293,446803,59951000,28974,19214000,11590
bretagne.mapgr,78644,177967,306356000,202270,525427000,106498
bretagne.mapgr,167721,86980,94569000,51862,50467000,26419
bretagne.mapgr,214240,140568,345559000,90908,299610000,48921
bretagne.mapgr,431277,256793,175186000,59901,33882000,17850
bretagne.mapgr,150820,372120,327058000,111498,119382000,49490
bretagne.mapgr,148750,627907,164769000,49674,138753000,26535
bretagne.mapgr,299776,358173,129080000,58397,66532000,26980
bretagne.mapgr,472945,488252,528822000,143189,197887000,56260
bretagne.mapgr,394112,117517,130479000,56389,36587000,19571
bretagne.mapgr,490193,350579,315082000,115703,159093000,57441
bretagne.mapgr,275957,606065,536649000,95638,149313000,51935
bretagne.mapgr,387005,582269,144061000,45045,29430000,14144
bretagne.mapgr,439880,74001,772863000,163593,356023000,69102
bretagne.mapgr,567133,150300,112421000,54835,46406000,24907
bretagne.mapgr,76583,337436,224699000,80447,96248000,36903
bretagne.mapgr,299503,315386,92196000,40191,30590000,14620
bretagne.mapgr,556194,33615,118093000,35931,55847000,14808
bretagne.mapgr,208438,477423,232003000,72173,63403000,25789
bretagne.mapgr,650242,191400,307115000,60386,40690000,19762
bretagne.mapgr,390987,14185,242006000,72676,90401000,37165
bretagne.mapgr,194104,402121,451700000,130938,376872000,1544622
bretagne.mapgr,196111,38836,157299000,59416,97016000,28973
bretagne.mapgr,347817,254233,340739000,122111,100439000,46474
bretagne.mapgr,30829,173012,463733000,179982,349196000,92784
bretagne.mapgr,358945,295410,333547000,109682,48882000,27135
bretagne.mapgr,478386,438600,205684000,88300,93608000,43103
bretagne.mapgr,533432,533292,100533000,43133,13289000,9981
bretagne.mapgr,354247,311532,164433000,68865,41043000,21952
bretagne.mapgr,399260,314641,85514000,57508,43905000,27706
bretagne.mapgr,355801,343525,306600000,93799,28461000,18719
bretagne.mapgr,163385,516087,83336000,55129,61554000,33440
bretagne.mapgr,207261,577894,670747000,153177,193955000,75994
bretagne.mapgr,582923,414940,33251000,25607,8086000,6822
bretagne.mapgr,11043,266993,631108000,207547,164816000,44017
bretagne.mapgr,112805,276628,351105000,235142,124986000,49101
bretagne.mapgr,214743,332785,387435000,116418,157290000,63998
bretagne.mapgr,298980,497719,239277000,88312,56528000,31284
bretagne.mapgr,43044,379083,288916000,91052,50389000,20431
bretagne.mapgr,172250,99172,69729000,48057,33630000,17875
bretagne.mapgr,273578,582451,73091000,45323,27772000,18751
bretagne.mapgr,33310,46667,187149000,79093,79359000,38168
bretagne.mapgr,142496,43684,355203000,103408,128456000,56223
bretagne.mapgr,22860,626826,293003000,79270,202671000,38065
bretagne.mapgr,404680,409758,187074000,51956,44734000,26843
bretagne.mapgr,421072,240787,146085000,54405,44091000,20894
bretagne.mapgr,598581,222016,97167000,49611,173468000,16316
bretagne.mapgr,456273,632143,227673000,88305,41667000,19175
bretagne.mapgr,326600,585615,469755000,186372,237963000,99457
bretagne.mapgr,501742,541326,67081000,47885,28750000,20924
bretagne.mapgr,159729,242205,81545000,41351,139507000,1544621
bretagne.mapgr,199093,115963,157058000,25920,17282000,11591
bretagne.mapgr,452720,81608,180831000,72918,124135000,40075
bretagne.mapgr,436129,32781,107903000,50898,54412000,27109
bretagne.mapgr,599988,183140,170262000,170442,226158000,74963
bretagne.mapgr,400803,39117,387908000,105418,133926000,46262
bretagne.mapgr,267186,329852,405846000,96746,40439000,21604
bretagne.mapgr,625155,580421,505567000,136610,102115000,54099
bretagne.mapgr,45523,72086,739028000,211834,663981000,135738
bretagne.mapgr,648798,375275,19671000,27656,13253000,9435
bretagne.mapgr,585065,211702,393288000,94195,191056000,51661
bretagne.mapgr,440668,301409,142522000,63489,25954000,19774
bretagne.mapgr,286113,281484,581463000,220366,518405000,132600
bretagne.mapgr,369000,22744,107228000,73036,47640000,21623
bretagne.mapgr,58668,505942,41189000,34459,21168000,16970
bretagne.mapgr,100455,26088,8400000,7697,5410000,3905
bretagne.mapgr,351985,599811,172277000,65728,229447000,24621
bretagne.mapgr,661629,352629,222885000,42171,21249000,15127
bretagne.mapgr,374758,325309,239636000,118395,140955000,29704
bretagne.mapgr,618766,324685,215951000,234586,239565000,149346
bretagne.mapgr,661305,347894,336661000,177729,296587000,97241
bretagne.mapgr,652319,84941,192018000,48574,20345000,15096
bretagne.mapgr,29662,601219,358828000,182283,451989000,98746
bretagne.mapgr,139666,641194,239927000,90291,114475000,20688
bretagne.mapgr,8668,410561,140368000,221979,278519000,120337
bretagne.mapgr,96236,214834,287948000,119964,215142000,51720
bretagne.mapgr,356976,507783,45245000,32485,12901000,10941
bretagne.mapgr,515292,235630,226284000,54294,39335000,23536
bretagne.mapgr,129218,372948,156399000,168069,47154000,23413
bretagne.mapgr,199110,435188,209696000,50396,38668000,22257
bretagne.mapgr,227813,108614,545101000,211216,181061000,99652
bretagne.mapgr,364013,487110,178721000,49319,29481000,20501
bretagne.mapgr,107502,357278,220759000,169388,187093000,107408
bretagne.mapgr,588211,607231,316045000,125045,117590000,51055
bretagne.mapgr,61977,650333,180957000,164874,152700000,81893
bretagne.mapgr,595301,380531,437382000,101481,51670000,23167
bretagne.mapgr,400271,164510,189161000,89301,65189000,37512
