Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,183017,575158,648450000,244644,110305000,60481
bretagne.mapgr,511015,25973,890154000,737388,408610000,131678
bretagne.mapgr,41806,138736,255019000,527591,150840000,153598
bretagne.mapgr,307321,423801,265799000,295217,160530000,90186
bretagne.mapgr,202159,228524,666026000,769220,99926000,46484
bretagne.mapgr,23855,537088,331757000,678894,157103000,159253
bretagne.mapgr,370150,490403,683985000,647952,293685000,113959
bretagne.mapgr,595428,529331,252137000,714848,360131000,148274
bretagne.mapgr,598382,426988,296089000,727835,253465000,216693
bretagne.mapgr,261818,63541,457450000,913190,350961000,82665
bretagne.mapgr,634521,526328,371372000,642254,128847000,39268
bretagne.mapgr,633505,235203,151441000,624210,200334000,50393
bretagne.mapgr,3335,147727,632563000,357956,205509000,58064
bretagne.mapgr,36573,413977,284111000,663924,182666000,1546813
bretagne.mapgr,31684,406444,191265000,457735,105285000,111412
bretagne.mapgr,328567,365293,282767000,430137,147690000,78039
bretagne.mapgr,505037,175650,296487000,841664,371133000,99388
bretagne.mapgr,353250,32540,675995000,724803,468124000,123525
bretagne.mapgr,656774,92710,722135000,941001,218007000,61708
bretagne.mapgr,359900,230907,598210000,595755,276353000,67792
bretagne.mapgr,191425,232616,433438000,663728,322530000,87155
bretagne.mapgr,386795,138594,293339000,392228,370663000,163138
bretagne.mapgr,325845,471812,722590000,306638,281502000,50721
bretagne.mapgr,139514,362029,605839000,634823,353130000,70363
bretagne.mapgr,445314,63364,511616000,474558,134211000,28879
bretagne.mapgr,37077,254931,585623000,606152,328771000,199207
bretagne.mapgr,436312,222914,628029000,383695,92785000,41120
bretagne.mapgr,526661,286184,233993000,269767,198101000,65235
bretagne.mapgr,536055,372373,384561000,726953,148720000,48742
bretagne.mapgr,553785,168336,737285000,353685,19419000,11927
bretagne.mapgr,436444,417540,14070000,605675,367028000,90688
bretagne.mapgr,501662,87341,477683000,790350,318683000,93041
bretagne.mapgr,376195,296696,185006000,852695,293835000,80928
bretagne.mapgr,537454,565703,53699000,827288,517525000,118338
bretagne.mapgr,230638,518216,599319000,762910,165774000,50648
bretagne.mapgr,646162,359542,121596000,922363,684159000,119504
bretagne.mapgr,655589,393423,722831000,942151,279420000,82323
bretagne.mapgr,229139,316409,768082000,324677,332529000,1546813
bretagne.mapgr,538867,81213,653962000,338683,512144000,75150
bretagne.mapgr,213068,221753,21140000,580458,217796000,67407
bretagne.mapgr,107640,23486,741891000,375541,457629000,107490
bretagne.mapgr,460113,156193,185855000,425484,99352000,40426
bretagne.mapgr,329762,96005,509631000,543779,752566000,224281
bretagne.mapgr,158460,649549,568885000,282443,96744000,34530
bretagne.mapgr,174435,222381,376895000,776625,379536000,103250
bretagne.mapgr,153090,634509,971206000,392083,238202000,87037
bretagne.mapgr,129696,419694,582380000,603876,459057000,130894
bretagne.mapgr,412789,89692,935089000,320130,87652000,36090
bretagne.mapgr,490703,485524,448547000,634313,208284000,191590
bretagne.mapgr,606660,346621,246283000,448970,205994000,72220
bretagne.mapgr,104658,254764,708042000,469068,243102000,80366
bretagne.mapgr,314740,162142,122333000,553476,78075000,39309
bretagne.mapgr,333256,399914,421380000,682914,222660000,69608
bretagne.mapgr,404873,299034,596578000,882144,225173000,72226
bretagne.mapgr,231164,7215,137734000,1121807,516545000,120950
bretagne.mapgr,654647,193279,483309000,980483,289354000,81740
bretagne.mapgr,76627,316000,544690000,471179,373668000,104605
bretagne.mapgr,17236,218904,300604000,505627,239992000,115321
bretagne.mapgr,378426,49785,49871000,291111,45938000,18923
bretagne.mapgr,418354,610680,317070000,426184,104555000,41255
bretagne.mapgr,248183,541583,766950000,305392,49461000,23789
bretagne.mapgr,149655,632284,789506000,628651,309595000,91509
bretagne.mapgr,634671,434815,57828000,920641,465177000,142936
bretagne.mapgr,559804,134658,464007000,809930,364722000,97287
bretagne.mapgr,600641,288395,447355000,482962,191319000,134497
bretagne.mapgr,223703,30891,747048000,606269,511772000,149495
bretagne.mapgr,533688,139963,142793000,741736,149126000,56596
bretagne.mapgr,504524,25121,779335000,902739,285261000,81501
bretagne.mapgr,207021,529385,353414000,453452,381051000,134953
bretagne.mapgr,552888,577173,360275000,645593,186188000,61887
bretagne.mapgr,339530,654749,949972000,608531,295183000,113073
bretagne.mapgr,79149,284305,702109000,285558,79303000,40027
bretagne.mapgr,539433,638722,212945000,393004,383649000,96618
bretagne.mapgr,547910,228973,20889000,403310,250980000,102598
bretagne.mapgr,158093,298769,402180000,673342,486923000,123333
bretagne.mapgr,77781,408749,635310000,611146,156429000,60315
bretagne.mapgr,503336,71167,126276000,388970,383722000,106454
bretagne.mapgr,265886,84774,505996000,300390,226326000,115071
bretagne.mapgr,252888,427795,422210000,224853,344565000,99082
bretagne.mapgr,455797,613904,359210000,960856,300677000,85844
bretagne.mapgr,304218,607180,499124000,397230,151871000,20307
bretagne.mapgr,506971,524792,379472000,618387,174422000,63036
bretagne.mapgr,574453,656538,38219000,697236,254131000,76940
bretagne.mapgr,261853,229033,114462000,424806,140906000,24996
bretagne.mapgr,183097,396369,567800000,549425,232004000,58721
bretagne.mapgr,282253,654592,860314000,791375,345517000,75113
bretagne.mapgr,456324,298167,831198000,792057,248396000,55777
bretagne.mapgr,107217,89392,345927000,464956,504793000,117572
bretagne.mapgr,246794,206874,944730000,655907,286355000,66168
bretagne.mapgr,299544,302277,736296000,1042345,277905000,88465
bretagne.mapgr,433439,407666,57477000,406466,266931000,88864
bretagne.mapgr,148451,357664,762448000,754384,670546000,173161
bretagne.mapgr,254887,341193,735726000,908694,227539000,77581
bretagne.mapgr,434203,254523,40069000,542834,201669000,62625
bretagne.mapgr,294985,399801,571047000,408408,49789000,21097
bretagne.mapgr,63164,498178,131364000,627413,238823000,81243
bretagne.mapgr,211218,148802,511330000,500973,301643000,1546813
bretagne.mapgr,369188,187349,898493000,592882,181570000,62812
bretagne.mapgr,235008,318146,402867000,639191,887656000,145192
bretagne.mapgr,464453,533023,616973000,317027,184360000,47296
bretagne.mapgr,103549,109096,562202000,792625,351775000,71256
bretagne.mapgr,419587,160651,344835000,808489,758064000,105322
bretagne.mapgr,349920,135170,862155000,289270,193339000,70632
bretagne.mapgr,176698,275307,776923000,260415,53295000,27810
bretagne.mapgr,201422,504021,977708000,675626,373442000,122980
bretagne.mapgr,510285,113301,563292000,660330,100875000,42763
bretagne.mapgr,371244,204376,331719000,584947,154480000,50856
bretagne.mapgr,622409,37310,169550000,890418,354982000,84591
bretagne.mapgr,206551,427930,980802000,479893,95272000,21029
bretagne.mapgr,283284,604102,9696000,654546,736595000,1546815
bretagne.mapgr,406227,452262,905000000,362665,375512000,79520
bretagne.mapgr,59746,447434,916291000,539942,517896000,105754
bretagne.mapgr,491764,28420,56070000,435337,408391000,177145
bretagne.mapgr,593085,536570,355633000,645708,114517000,47419
bretagne.mapgr,228862,390519,676828000,838628,463077000,99349
bretagne.mapgr,436278,617690,797557000,259970,82916000,37142
bretagne.mapgr,292057,408893,431379000,551000,250675000,143788
bretagne.mapgr,134638,156461,666905000,610979,334596000,115337
bretagne.mapgr,581812,211821,519852000,531799,410422000,105578
bretagne.mapgr,266918,223071,783781000,357126,60142000,22905
bretagne.mapgr,11810,379506,604346000,739393,416938000,84151
bretagne.mapgr,203991,412744,340992000,661281,228407000,73785
bretagne.mapgr,440271,27654,162052000,435010,644342000,112296
bretagne.mapgr,366032,194975,798924000,295303,67334000,34400
bretagne.mapgr,81601,590154,184334000,628476,339528000,108275
bretagne.mapgr,305194,254990,85852000,412115,201571000,66857
bretagne.mapgr,51197,327952,687000000,576013,176182000,61166
bretagne.mapgr,400532,488349,389973000,347248,73797000,31203
bretagne.mapgr,128630,235571,744730000,513243,273006000,138882
bretagne.mapgr,485169,518140,603791000,457927,74037000,34538
bretagne.mapgr,594783,494281,917256000,400583,411675000,94958
bretagne.mapgr,173232,593759,455884000,508879,308019000,86944
